subjNo	 ER	 RT	 isLeft	 cohVec	 cohFac	 blocknum	 isDots
1	0	0.38054	0	2.5	0	4	0
1	0	0.42278	0	2.5	0	4	0
1	0	0.33191	1	2.5	0	4	0
1	0	0.33224	1	2.5	0	4	0
1	0	0.34114	1	2.5	0	4	0
1	0	0.30798	1	2.5	0	4	0
1	0	0.38003	0	2.5	0	4	0
1	0	0.39583	1	2.5	0	4	0
1	0	0.42727	0	2.5	0	4	0
1	0	0.40703	0	2.5	0	4	0
1	0	0.36606	0	2.5	0	4	0
1	0	0.4217	0	2.5	0	4	0
1	0	0.34066	0	2.5	0	5	0
1	0	0.38939	1	2.5	0	5	0
1	0	0.38683	1	2.5	0	5	0
1	0	0.38071	0	2.5	0	5	0
1	0	0.33883	1	2.5	0	5	0
1	0	0.44414	0	2.5	0	5	0
1	0	0.34979	1	2.5	0	5	0
1	0	0.35799	0	2.5	0	5	0
1	0	0.40505	1	2.5	0	5	0
1	0	0.37315	0	2.5	0	5	0
1	0	0.3891	1	2.5	0	5	0
1	0	0.35572	0	2.5	0	5	0
1	0	0.36582	0	2.5	0	5	0
1	0	0.41425	1	2.5	0	5	0
1	0	0.37223	1	2.5	0	5	0
1	0	0.35815	1	2.5	0	5	0
1	0	0.447	0	2.5	0	5	0
1	0	0.39627	1	2.5	0	5	0
1	0	0.4132	1	2.5	0	5	0
1	0	0.35719	1	2.5	0	5	0
1	0	0.39548	1	2.5	0	5	0
1	0	0.41307	1	2.5	0	5	0
1	0	0.38937	0	2.5	0	5	0
1	0	0.39801	0	2.5	0	5	0
1	0	0.40666	1	2.5	0	5	0
1	0	0.41285	1	2.5	0	5	0
1	0	0.42025	1	2.5	0	5	0
1	0	0.44572	0	2.5	0	5	0
1	0	0.38896	1	2.5	0	5	0
1	0	0.34156	1	2.5	0	5	0
1	0	0.38051	0	2.5	0	5	0
1	0	0.42167	0	2.5	0	5	0
1	0	0.36441	0	2.5	0	5	0
1	0	0.41334	1	2.5	0	5	0
1	0	0.3736	0	2.5	0	5	0
1	0	0.37999	0	2.5	0	5	0
1	1	0.9227	1	6	1	6	1
1	0	1.0297	1	6	1	6	1
1	0	0.90039	1	6	1	6	1
1	0	0.8649	0	6	1	6	1
1	0	0.74742	0	6	1	6	1
1	0	2.1712	1	6	1	6	1
1	0	0.71205	1	6	1	6	1
1	0	1.5005	1	6	1	6	1
1	0	3.2547	1	6	1	6	1
1	0	0.84203	0	6	1	6	1
1	0	1.0176	0	6	1	6	1
1	0	0.6766	1	6	1	6	1
1	0	1.1241	1	6	1	6	1
1	0	0.88853	1	6	1	6	1
1	0	0.77114	0	6	1	6	1
1	0	0.96033	0	6	1	6	1
1	0	0.97101	0	6	1	6	1
1	0	1.1478	0	6	1	6	1
1	0	0.82956	1	6	1	6	1
1	0	1.0298	0	6	1	6	1
1	0	0.72353	0	6	1	6	1
1	0	0.87666	0	6	1	6	1
1	0	0.6533	1	6	1	6	1
1	1	0.86473	1	6	1	6	1
1	0	1.6414	1	6	1	6	1
1	0	0.84193	1	6	1	6	1
1	1	1.4774	1	6	1	6	1
1	0	1.1829	0	6	1	6	1
1	0	0.78316	1	6	1	6	1
1	0	1.4653	0	6	1	6	1
1	0	0.86533	0	6	1	6	1
1	0	0.97074	1	6	1	6	1
1	0	1.0185	1	6	1	6	1
1	0	1.4065	1	6	1	6	1
1	0	0.79441	0	6	1	6	1
1	0	0.8061	0	6	1	6	1
1	0	0.73529	1	6	1	6	1
1	1	1.258	1	2.5	0	7	1
1	0	2.1712	1	2.5	0	7	1
1	0	1.7589	1	2.5	0	7	1
1	1	0.8059	1	2.5	0	7	1
1	0	1.489	1	2.5	0	7	1
1	0	0.81792	1	2.5	0	7	1
1	1	3.1831	1	2.5	0	7	1
1	1	0.86496	1	2.5	0	7	1
1	0	1.359	0	2.5	0	7	1
1	0	4.3005	1	2.5	0	7	1
1	0	1.1	1	2.5	0	7	1
1	0	0.65284	0	2.5	0	7	1
1	1	0.73627	1	2.5	0	7	1
1	0	1.2535	1	2.5	0	7	1
1	0	1.9595	1	2.5	0	7	1
1	0	1.1127	0	2.5	0	7	1
1	1	1.3477	1	2.5	0	7	1
1	0	0.71184	0	2.5	0	7	1
1	0	0.86545	0	2.5	0	7	1
1	0	1.5122	0	2.5	0	7	1
1	0	2.3711	1	2.5	0	7	1
1	1	1.0652	1	2.5	0	7	1
1	0	0.81862	0	2.5	0	7	1
1	1	1.1587	0	2.5	0	7	1
1	0	2.112	1	2.5	0	7	1
1	0	0.74789	0	2.5	0	7	1
1	0	0.61786	1	2.5	0	7	1
1	0	0.64154	0	2.5	0	7	1
1	1	0.98295	0	2.5	0	7	1
1	0	1.5006	0	2.5	0	7	1
1	0	2.0292	0	2.5	0	7	1
1	0	0.80658	1	2.5	0	7	1
1	0	0.61779	0	2.5	0	7	1
1	0	1.5947	0	2.5	0	7	1
1	0	0.84181	1	2.5	0	7	1
1	0	0.60609	0	2.5	0	7	1
1	0	0.43818	1	6	1	8	0
1	1	0.34907	1	6	1	8	0
1	0	0.45244	0	6	1	8	0
1	0	0.39627	1	6	1	8	0
1	0	0.36588	1	6	1	8	0
1	0	0.35663	1	6	1	8	0
1	0	0.46996	0	6	1	8	0
1	0	0.40504	1	6	1	8	0
1	0	0.40553	1	6	1	8	0
1	0	0.39004	0	6	1	8	0
1	0	0.51084	0	6	1	8	0
1	0	0.33198	1	6	1	8	0
1	0	0.39865	0	6	1	8	0
1	0	0.3576	1	6	1	8	0
1	0	0.32538	1	6	1	8	0
1	0	0.37386	1	6	1	8	0
1	0	0.34102	0	6	1	8	0
1	0	0.38089	1	6	1	8	0
1	0	0.37485	1	6	1	8	0
1	0	0.3325	1	6	1	8	0
1	0	0.3911	0	6	1	8	0
1	1	0.33314	0	6	1	8	0
1	0	0.37227	0	6	1	8	0
1	0	0.35723	1	6	1	8	0
1	0	0.39879	1	6	1	8	0
1	0	0.40478	1	6	1	8	0
1	0	0.34795	1	6	1	8	0
1	0	0.4213	0	6	1	8	0
1	0	0.34789	0	6	1	8	0
1	0	0.35667	1	6	1	8	0
1	0	0.41367	1	6	1	8	0
1	0	0.34116	1	6	1	8	0
1	0	0.45529	0	6	1	8	0
1	0	0.36632	0	6	1	8	0
1	0	0.41499	1	6	1	8	0
1	1	0.34106	1	6	1	8	0
1	0	0.38299	0	6	1	8	0
1	0	0.37981	0	6	1	8	0
1	0	0.80028	0	2.5	0	9	1
1	0	1.477	0	2.5	0	9	1
1	1	1.8529	0	2.5	0	9	1
1	0	0.85303	0	2.5	0	9	1
1	0	0.71246	0	2.5	0	9	1
1	0	1.089	0	2.5	0	9	1
1	0	0.86533	1	2.5	0	9	1
1	0	0.84206	1	2.5	0	9	1
1	0	1.1946	0	2.5	0	9	1
1	1	1.0065	0	2.5	0	9	1
1	0	0.7006	0	2.5	0	9	1
1	0	0.92392	1	2.5	0	9	1
1	0	0.81781	0	2.5	0	9	1
1	0	0.99445	0	2.5	0	9	1
1	0	1.0416	1	2.5	0	9	1
1	0	0.65309	1	2.5	0	9	1
1	1	0.86528	1	2.5	0	9	1
1	1	2.0532	1	2.5	0	9	1
1	0	2.5238	0	2.5	0	9	1
1	1	0.86476	1	2.5	0	9	1
1	0	3.7587	1	2.5	0	9	1
1	0	1.8767	1	2.5	0	9	1
1	1	1.3127	1	2.5	0	9	1
1	1	3.6416	1	2.5	0	9	1
1	0	2.2062	1	2.5	0	9	1
1	0	0.95927	0	2.5	0	9	1
1	0	0.68914	0	2.5	0	9	1
1	0	0.81791	0	2.5	0	9	1
1	0	1.2063	1	2.5	0	9	1
1	1	1.4413	0	2.5	0	9	1
1	0	1.0297	0	2.5	0	9	1
1	0	1.6186	1	2.5	0	9	1
1	0	0.72377	1	2.5	0	9	1
1	0	0.95921	1	2.5	0	9	1
1	0	0.64194	0	2.5	0	9	1
1	0	1.689	1	2.5	0	9	1
1	0	0.42952	0	6	1	10	0
1	0	0.38943	1	6	1	10	0
1	0	0.38256	0	6	1	10	0
1	0	0.42926	1	6	1	10	0
1	0	0.34135	0	6	1	10	0
1	0	0.39708	1	6	1	10	0
1	0	0.36452	0	6	1	10	0
1	0	0.39705	1	6	1	10	0
1	0	0.39007	0	6	1	10	0
1	0	0.35455	1	6	1	10	0
1	0	0.48681	1	6	1	10	0
1	0	0.4059	1	6	1	10	0
1	0	0.40569	0	6	1	10	0
1	0	0.3661	1	6	1	10	0
1	0	0.4122	0	6	1	10	0
1	0	0.40502	1	6	1	10	0
1	0	0.36385	1	6	1	10	0
1	0	0.389	0	6	1	10	0
1	0	0.372	0	6	1	10	0
1	0	0.38171	0	6	1	10	0
1	0	0.38911	1	6	1	10	0
1	0	0.37228	0	6	1	10	0
1	0	0.35775	0	6	1	10	0
1	0	0.41119	1	6	1	10	0
1	0	0.35574	0	6	1	10	0
1	0	0.46227	1	6	1	10	0
1	0	0.38991	0	6	1	10	0
1	0	0.42125	1	6	1	10	0
1	0	0.33891	0	6	1	10	0
1	0	0.41264	0	6	1	10	0
1	0	0.35898	0	6	1	10	0
1	0	0.37337	1	6	1	10	0
1	0	0.38821	1	6	1	10	0
1	0	0.41365	1	6	1	10	0
1	0	0.39769	0	6	1	10	0
1	0	0.40372	0	2.5	0	11	0
1	0	0.41303	1	2.5	0	11	0
1	0	0.50349	1	2.5	0	11	0
1	0	0.38995	1	2.5	0	11	0
1	0	0.37152	0	2.5	0	11	0
1	0	0.3333	1	2.5	0	11	0
1	0	0.2931	0	2.5	0	11	0
1	0	0.39702	1	2.5	0	11	0
1	0	0.33304	0	2.5	0	11	0
1	0	0.38892	1	2.5	0	11	0
1	0	0.31699	0	2.5	0	11	0
1	0	0.35559	1	2.5	0	11	0
1	0	0.35374	1	2.5	0	11	0
1	0	0.41945	1	2.5	0	11	0
1	0	0.39654	0	2.5	0	11	0
1	0	0.49467	1	2.5	0	11	0
1	0	0.31712	1	2.5	0	11	0
1	0	0.35739	1	2.5	0	11	0
